run,connections,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
1,1,51.5,19.35,0.71689,29.54,19.22,19.6,19.69,23.48,3093,0,0,0,0,0
1,2,100.74,19.77,0.7153200000000001,30.63,19.7,19.79,19.88,22.87,6051,0,0,0,0,0
1,4,202.59,19.69,0.5919500000000001,30.02,19.63,19.67,19.73,20.62,12163,0,0,0,0,0
1,6,203.25,29.46,4.2,47.05,29.45,32.35,35.08,38.62,12202,0,0,0,0,0
1,8,203.25,39.29,0.86,49.37,39.21,39.29,39.41,43.76,12203,0,0,0,0,0
1,12,203.22,58.96,1.25,73.39,58.84,58.97,59.16,64.94,12199,0,0,0,0,0
1,16,203.21,78.62,1.74,96.2,78.47,78.62,78.79,85.07,12201,0,0,0,0,0
1,24,203.23,117.92,2.92,129.61,117.74,117.96,118.32,124.58,12201,0,0,0,0,0
1,32,203.23,157.18,4.45,167.25,157.03,157.32,157.91,164.47,12202,0,0,0,0,0
1,48,203.19,235.69,8.19,247.5,235.67,236.06,238.18,243.68,12199,0,0,0,0,0
1,64,203.15,314.12,12.53,324.01,314.23,315.14,318.1,322.11,12197,0,0,0,0,0
1,96,203.29,470.29,23.58,482.81,471.74,473.65,475.94,478.82,12206,0,0,0,0,0
1,128,203.19,626.45,35.94,639.29,629.33,631.23,633.34,635.98,12202,0,0,0,0,0
1,192,203.16,937.32,66.95,955.99,944.65,946.46,947.99,949.65,12198,0,0,0,0,0
1,256,203.15,1250.0,103.73,1270.0,1260.0,1260.0,1260.0,1270.0,12202,0,0,0,0,0
2,1,51.38,19.41,0.61293,29.65,19.34,19.6,19.7,20.34,3086,0,0,0,0,0
2,2,100.94,19.73,0.62646,29.88,19.68,19.76,19.85,20.88,6061,0,0,0,0,0
2,4,202.55,19.69,0.60961,32.17,19.63,19.67,19.72,21.68,12160,0,0,0,0,0
2,6,203.2,29.46,3.9,44.23,29.44,32.24,34.66,37.92,12198,0,0,0,0,0
2,8,203.23,39.3,0.86,52.78,39.23,39.3,39.37,43.94,12200,0,0,0,0,0
2,12,203.21,58.96,1.24,68.82,58.84,58.93,59.05,64.9,12199,0,0,0,0,0
2,16,203.21,78.62,1.72,92.07,78.47,78.6,78.8,84.98,12200,0,0,0,0,0
2,24,203.19,117.94,2.98,128.8,117.79,118.05,118.42,125.28,12198,0,0,0,0,0
2,32,203.24,157.18,4.47,173.21,157.08,157.43,157.91,164.58,12202,0,0,0,0,0
2,48,203.24,235.64,8.21,248.72,235.57,235.99,237.62,244.16,12201,0,0,0,0,0
2,64,203.24,314.0,12.64,326.36,314.3,315.12,317.57,322.6,12203,0,0,0,0,0
2,96,203.16,470.51,23.52,484.21,471.46,472.83,476.33,480.96,12198,0,0,0,0,0
2,128,203.14,626.51,36.21,644.74,628.87,630.91,634.76,639.78,12200,0,0,0,0,0
2,192,203.19,937.15,67.07,958.69,944.04,946.76,949.74,953.5,12201,0,0,0,0,0
