phase,task,workers,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
main,cpu,1,8,1,51.39,155.35,4.34,162.97,155.41,156.15,156.87,160.94,3087,0,0,0,0,0
main,cpu,1,8,2,51.43,155.23,4.33,163.41,155.27,155.94,156.61,161.98,3090,0,0,0,0,0
main,cpu,1,8,3,51.4,155.3,4.3,163.4,155.38,156.08,156.73,160.69,3088,0,0,0,0,0
main,cpu,1,8,4,51.56,154.85,4.3,162.73,154.88,155.54,156.33,160.62,3097,0,0,0,0,0
main,cpu,1,8,5,51.52,154.95,4.34,164.34,154.96,155.75,156.48,160.85,3095,0,0,0,0,0
main,cpu,1,64,1,51.35,1230.0,101.88,1260.0,1250.0,1250.0,1250.0,1260.0,3085,0,0,0,0,0
main,cpu,1,64,2,51.38,1230.0,101.75,1260.0,1250.0,1250.0,1250.0,1260.0,3087,0,0,0,0,0
main,cpu,1,64,3,51.56,1230.0,101.56,1260.0,1240.0,1240.0,1250.0,1250.0,3097,0,0,0,0,0
main,cpu,1,64,4,51.55,1230.0,101.53,1250.0,1240.0,1240.0,1250.0,1250.0,3097,0,0,0,0,0
main,cpu,1,64,5,51.36,1230.0,101.91,1260.0,1250.0,1250.0,1250.0,1260.0,3086,0,0,0,0,0
main,cpu,2,8,1,97.82,81.63,1.69,89.78,81.69,82.17,82.69,83.6,5876,0,0,0,0,0
main,cpu,2,8,2,97.78,81.68,1.69,89.48,81.68,82.26,82.86,83.73,5873,0,0,0,0,0
main,cpu,2,8,3,97.57,81.85,1.69,89.63,81.86,82.42,82.94,83.88,5860,0,0,0,0,0
main,cpu,2,8,4,98.84,80.79,1.76,87.96,80.64,81.39,82.31,83.97,5936,0,0,0,0,0
main,cpu,2,8,5,99.37,80.37,1.62,88.48,80.35,80.83,81.3,82.28,5967,0,0,0,0,0
main,cpu,2,64,1,99.42,640.11,37.84,660.3,643.12,645.91,648.59,654.21,5971,0,0,0,0,0
main,cpu,2,64,2,99.63,638.7,37.38,655.54,641.58,644.02,647.12,652.84,5984,0,0,0,0,0
main,cpu,2,64,3,99.61,638.93,37.07,656.77,642.03,644.55,647.16,653.13,5983,0,0,0,0,0
main,cpu,2,64,4,99.7,638.2,37.25,654.02,641.04,643.37,646.66,652.0,5988,0,0,0,0,0
main,cpu,2,64,5,99.68,638.47,37.26,655.79,641.95,644.19,646.25,651.31,5986,0,0,0,0,0
main,cpu,4,8,1,182.17,43.83,6.13,67.74,40.2,45.85,54.48,61.83,10937,0,0,0,0,0
main,cpu,4,8,2,182.23,43.82,6.31,72.98,40.18,45.52,54.77,63.36,10940,0,0,0,0,0
main,cpu,4,8,3,182.23,43.82,6.3,67.12,40.17,45.66,54.81,62.91,10941,0,0,0,0,0
main,cpu,4,8,4,182.19,43.83,6.27,73.28,40.18,45.62,54.78,63.09,10939,0,0,0,0,0
main,cpu,4,8,5,182.22,43.82,6.18,70.0,40.18,45.88,54.51,62.67,10940,0,0,0,0,0
main,cpu,4,64,1,182.18,350.2,16.1,371.85,350.57,355.32,359.54,367.57,10940,0,0,0,0,0
main,cpu,4,64,2,182.18,350.14,16.14,371.25,350.92,355.37,359.51,367.84,10938,0,0,0,0,0
main,cpu,4,64,3,182.2,350.15,16.07,371.42,350.63,355.16,359.42,367.44,10941,0,0,0,0,0
main,cpu,4,64,4,182.16,350.18,16.14,371.65,350.74,355.31,359.54,367.46,10940,0,0,0,0,0
main,cpu,4,64,5,182.18,350.11,16.27,374.43,350.8,355.44,359.42,367.99,10939,0,0,0,0,0
main,cpu,6,8,1,193.19,41.3,8.08,68.96,41.25,46.62,51.51,58.76,11598,0,0,0,0,0
main,cpu,6,8,2,193.2,41.31,8.08,73.88,41.04,46.76,51.59,58.43,11600,0,0,0,0,0
main,cpu,6,8,3,193.32,41.28,7.88,69.72,42.03,46.93,50.82,56.46,11608,0,0,0,0,0
main,cpu,6,8,4,193.23,41.29,7.98,69.95,41.52,46.8,51.16,57.6,11603,0,0,0,0,0
main,cpu,6,8,5,193.26,41.29,8.02,67.39,41.63,46.74,51.12,58.11,11604,0,0,0,0,0
main,cpu,6,64,1,192.58,331.27,16.29,356.31,332.14,339.01,344.25,351.35,11564,0,0,0,0,0
main,cpu,6,64,2,193.42,329.83,15.74,352.93,330.97,336.99,341.74,348.69,11612,0,0,0,0,0
