task,queue_size,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
cpu,1,128,1,173.87,52.4,17.16,141.64,45.25,56.53,83.69,98.8,10439,0,1810148,0,0,0
cpu,1,128,2,174.11,52.3,17.03,147.49,45.27,56.49,82.97,98.25,10449,0,1810249,0,0,0
cpu,1,128,3,174.14,52.39,16.95,152.96,45.41,56.85,83.09,98.29,10461,0,1797886,0,0,0
cpu,1,128,4,174.12,52.42,17.01,145.75,45.33,56.89,83.14,96.73,10463,0,1807175,0,0,0
cpu,1,128,5,174.09,52.27,17.19,148.39,45.11,56.05,83.65,98.56,10452,0,1802419,0,0,0
cpu,1,256,1,171.79,54.65,16.73,139.39,48.17,60.38,84.41,99.41,10323,0,1837219,0,0,0
cpu,1,256,2,171.96,54.62,16.77,136.52,48.21,59.9,84.63,99.99,10331,0,1826484,0,0,0
cpu,1,256,3,171.06,54.44,16.89,127.3,47.74,59.79,84.7,99.29,10279,0,1854513,0,0,0
cpu,1,256,4,171.77,54.86,16.82,128.01,48.14,60.94,84.91,99.07,10323,0,1832701,0,0,0
cpu,1,256,5,171.58,54.68,16.75,133.01,48.14,60.4,84.72,99.06,10312,0,1839100,0,0,0
cpu,4,128,1,176.73,68.47,18.47,179.16,63.75,73.25,98.59,118.08,10620,0,1732494,0,0,0
cpu,4,128,2,176.59,68.53,18.5,174.26,63.76,73.01,99.09,119.75,10611,0,1747955,0,0,0
cpu,4,128,3,176.67,68.49,18.61,171.08,63.73,73.02,99.23,119.42,10609,0,1744937,0,0,0
cpu,4,128,4,177.38,68.24,18.64,186.38,63.42,72.75,98.45,119.33,10647,0,1704525,0,0,0
cpu,4,128,5,176.83,68.39,18.67,181.14,63.68,73.2,98.64,120.15,10616,0,1728414,0,0,0
cpu,4,256,1,174.24,71.35,18.26,176.64,66.89,78.65,101.94,118.35,10468,0,1805643,0,0,0
cpu,4,256,2,175.23,70.43,18.66,181.19,66.12,77.53,100.72,118.99,10532,0,1764774,0,0,0
cpu,4,256,3,174.59,70.17,18.72,184.54,65.26,76.79,101.31,119.85,10482,0,1804901,0,0,0
cpu,4,256,4,174.21,70.13,18.68,178.41,65.41,76.72,101.38,118.7,10470,0,1816780,0,0,0
cpu,4,256,5,174.6,70.54,18.58,188.6,65.76,77.52,101.15,119.04,10491,0,1796905,0,0,0
cpu,16,128,1,177.58,135.57,19.24,246.64,130.8,141.04,167.01,187.7,10665,0,1697804,0,0,0
cpu,16,128,2,176.96,135.98,19.19,244.72,130.74,141.03,167.82,187.52,10635,0,1735489,0,0,0
cpu,16,128,3,178.45,134.65,19.69,246.76,129.76,139.62,166.54,200.07,10723,0,1672976,0,0,0
cpu,16,128,4,176.6,136.11,19.02,245.27,131.07,141.63,167.62,186.48,10610,0,1745846,0,0,0
cpu,16,128,5,178.29,134.76,19.97,248.08,129.72,140.75,166.48,195.68,10707,0,1676819,0,0,0
cpu,16,256,1,176.21,136.87,20.17,245.11,132.4,144.1,168.84,191.59,10582,0,1741453,0,0,0
cpu,16,256,2,176.0,137.99,19.72,252.29,133.86,144.78,169.4,190.92,10577,0,1737460,0,0,0
cpu,16,256,3,176.14,137.11,20.12,247.7,132.67,144.5,169.03,191.21,10579,0,1746054,0,0,0
cpu,16,256,4,175.66,137.25,19.94,243.31,132.66,143.57,169.85,190.73,10552,0,1767471,0,0,0
cpu,16,256,5,174.86,137.94,19.85,258.61,132.95,144.49,170.52,189.55,10499,0,1797209,0,0,0
cpu,64,128,1,181.0,396.79,26.51,507.33,395.0,404.54,429.3,455.56,10868,0,1571974,0,0,0
cpu,64,128,2,181.05,396.77,26.76,515.08,395.17,404.27,429.71,457.62,10880,0,1575183,0,0,0
cpu,64,128,3,180.24,398.52,26.76,507.15,396.61,406.11,431.59,453.15,10823,0,1604944,0,0,0
cpu,64,128,4,180.76,397.4,26.59,501.35,395.4,404.98,430.31,454.86,10862,0,1577295,0,0,0
cpu,64,128,5,181.61,395.19,27.31,519.35,394.07,403.47,428.87,458.84,10914,0,1547622,0,0,0
cpu,64,256,1,174.75,410.63,27.9,515.63,407.72,418.35,446.62,467.2,10495,0,1811729,0,0,0
cpu,64,256,2,175.46,408.93,29.11,523.75,407.23,417.64,445.92,468.52,10534,0,1787122,0,0,0
cpu,64,256,3,174.77,410.99,27.67,521.11,407.89,419.03,446.96,467.11,10500,0,1812576,0,0,0
cpu,64,256,4,175.52,409.01,28.81,515.61,407.24,417.41,446.67,466.5,10538,0,1783291,0,0,0
cpu,64,256,5,175.02,409.98,28.61,533.38,407.61,418.82,446.96,467.96,10512,0,1790965,0,0,0
cpu,256,128,1,224.81,566.47,30.68,595.83,568.08,570.75,573.65,580.48,13506,0,0,0,0,0
cpu,256,128,2,224.59,566.55,30.6,598.61,568.18,570.24,572.82,586.19,13497,0,0,0,0,0
cpu,256,128,3,224.7,566.58,30.97,600.33,568.21,570.56,573.51,583.66,13492,0,0,0,0,0
cpu,256,128,4,224.8,566.5,30.48,602.03,568.02,570.28,573.5,583.98,13508,0,0,0,0,0
cpu,256,128,5,224.53,566.72,30.76,599.86,568.33,570.5,573.3,587.7,13494,0,0,0,0,0
cpu,256,256,1,224.63,1130.0,88.24,1170.0,1140.0,1140.0,1140.0,1150.0,13498,0,0,0,0,0
cpu,256,256,2,224.67,1130.0,87.66,1170.0,1140.0,1140.0,1150.0,1150.0,13484,0,0,0,0,0
cpu,256,256,3,224.62,1130.0,87.95,1170.0,1140.0,1140.0,1140.0,1150.0,13499,0,0,0,0,0
cpu,256,256,4,224.52,1130.0,88.07,1170.0,1140.0,1140.0,1150.0,1150.0,13490,0,0,0,0,0
cpu,256,256,5,224.58,1130.0,85.26,1170.0,1140.0,1140.0,1140.0,1150.0,13494,0,0,0,0,0
cpu,1024,128,1,224.72,566.69,30.68,595.25,568.58,570.95,573.9,581.81,13498,0,0,0,0,0
cpu,1024,128,2,224.76,566.57,30.81,595.83,568.47,570.94,573.62,580.93,13503,0,0,0,0,0
cpu,1024,128,3,224.66,566.67,30.7,592.77,568.56,571.08,573.95,580.79,13499,0,0,0,0,0
cpu,1024,128,4,224.7,566.73,30.85,593.82,568.52,571.03,573.77,581.47,13501,0,0,0,0,0
cpu,1024,128,5,224.71,566.61,30.54,594.89,568.54,570.83,573.57,581.94,13502,0,0,0,0,0
cpu,1024,256,1,224.77,1130.0,87.78,1170.0,1140.0,1140.0,1140.0,1150.0,13506,0,0,0,0,0
cpu,1024,256,2,224.66,1130.0,87.78,1160.0,1140.0,1140.0,1140.0,1150.0,13501,0,0,0,0,0
cpu,1024,256,3,224.82,1130.0,88.67,1160.0,1140.0,1140.0,1140.0,1150.0,13507,0,0,0,0,0
cpu,1024,256,4,224.74,1130.0,88.12,1170.0,1140.0,1140.0,1140.0,1150.0,13503,0,0,0,0,0
cpu,1024,256,5,224.72,1130.0,88.09,1160.0,1140.0,1140.0,1140.0,1150.0,13501,0,0,0,0,0
cpu,2048,128,1,224.69,566.7,30.83,645.34,568.18,570.84,574.14,586.52,13499,0,0,0,0,0
cpu,2048,128,2,224.88,566.29,30.49,593.16,568.1,570.55,573.32,580.15,13509,0,0,0,0,0
cpu,2048,128,3,224.83,566.28,30.77,593.41,567.92,570.38,573.11,582.9,13508,0,0,0,0,0
cpu,2048,128,4,224.72,566.59,30.69,592.46,568.26,570.85,573.7,582.38,13502,0,0,0,0,0
cpu,2048,128,5,224.67,566.73,30.63,594.31,568.49,571.0,573.95,581.48,13499,0,0,0,0,0
cpu,2048,256,1,224.58,1130.0,87.92,1170.0,1140.0,1140.0,1140.0,1150.0,13496,0,0,0,0,0
cpu,2048,256,2,224.7,1130.0,88.35,1160.0,1140.0,1140.0,1140.0,1150.0,13503,0,0,0,0,0
cpu,2048,256,3,224.77,1130.0,88.26,1170.0,1140.0,1140.0,1140.0,1150.0,13506,0,0,0,0,0
cpu,2048,256,4,224.79,1130.0,88.12,1170.0,1140.0,1140.0,1140.0,1150.0,13509,0,0,0,0,0
cpu,2048,256,5,224.84,1130.0,88.71,1160.0,1140.0,1140.0,1140.0,1150.0,13507,0,0,0,0,0
io,1,128,1,135.27,67.49,15.6,159.2,65.39,76.48,88.69,112.41,8129,0,1565353,0,0,0
io,1,128,2,125.98,72.3,15.94,154.43,70.57,81.81,92.92,116.54,7566,0,1714135,0,0,0
io,1,128,3,119.44,76.06,14.55,159.17,74.67,84.47,94.99,117.81,7168,0,1829234,0,0,0
io,1,128,4,119.01,76.28,17.85,371.4,74.54,84.62,94.5,118.97,7152,0,1842809,0,0,0
io,1,128,5,123.39,73.78,24.52,698.8,71.5,81.46,91.74,116.04,7414,0,1767771,0,0,0
io,1,256,1,133.62,69.58,15.62,149.75,67.72,78.94,90.58,112.61,8023,0,1652746,0,0,0
io,1,256,2,119.95,76.65,16.2,147.9,75.73,86.86,97.86,119.89,7204,0,1870474,0,0,0
io,1,256,3,110.84,82.45,23.13,503.95,79.65,90.24,101.21,130.82,6660,0,2027142,0,0,0
io,1,256,4,115.03,79.6,15.54,243.37,77.97,88.18,99.16,123.55,6913,0,1970644,0,0,0
io,1,256,5,112.49,81.54,15.04,154.9,80.37,90.52,101.02,124.12,6761,0,2002406,0,0,0
io,4,128,1,125.53,96.21,19.34,193.96,94.43,107.34,121.0,152.58,7543,0,1735669,0,0,0
io,4,128,2,135.59,89.49,19.05,209.84,87.54,100.59,113.96,145.51,8147,0,1561910,0,0,0
io,4,128,3,133.68,90.52,19.1,197.04,88.71,101.79,115.24,145.54,8028,0,1584147,0,0,0
io,4,128,4,122.36,98.76,18.42,191.37,97.17,110.01,123.13,149.72,7351,0,1803446,0,0,0
io,4,128,5,124.7,96.98,18.93,185.8,95.34,108.48,121.85,148.42,7488,0,1738885,0,0,0
io,4,256,1,130.35,93.79,21.14,212.31,91.71,106.51,121.95,152.09,7828,0,1707665,0,0,0
io,4,256,2,123.61,98.61,19.45,200.41,97.1,110.98,123.96,148.86,7429,0,1829356,0,0,0
io,4,256,3,124.88,97.7,19.16,185.59,96.39,109.56,122.72,149.16,7502,0,1819867,0,0,0
io,4,256,4,123.08,98.91,20.12,209.89,96.94,110.59,124.93,156.06,7389,0,1840868,0,0,0
io,4,256,5,132.13,92.34,20.4,205.78,90.57,104.14,118.5,150.96,7937,0,1669954,0,0,0
io,16,128,1,134.11,179.57,22.95,284.62,177.58,192.82,209.35,245.91,8052,0,1598279,0,0,0
io,16,128,2,120.9,198.76,23.88,304.35,195.56,211.81,230.36,268.79,7258,0,1799825,0,0,0
