task,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
cpu,1,1,30.89,32.26,1.99,44.03,31.63,32.38,36.86,37.61,927,0,0,0,0,0
cpu,1,2,30.95,32.21,1.93,43.39,31.65,32.31,36.38,37.43,929,0,0,0,0,0
cpu,1,3,30.92,32.22,1.92,42.18,31.65,32.3,36.5,37.37,928,0,0,0,0,0
cpu,1,4,30.95,32.2,1.92,45.72,31.67,32.32,36.49,37.33,929,0,0,0,0,0
cpu,1,5,30.93,32.22,1.9,42.95,31.68,32.36,36.43,37.34,928,0,0,0,0,0
cpu,2,1,55.12,36.16,6.17,68.45,33.04,36.22,44.98,57.22,1654,0,0,0,0,0
cpu,2,2,51.25,38.88,5.86,63.09,37.6,42.76,45.75,56.01,1538,0,0,0,0,0
cpu,2,3,53.92,36.97,6.17,66.97,33.28,40.44,45.14,56.55,1618,0,0,0,0,0
cpu,2,4,53.08,37.57,6.13,63.0,35.22,41.88,45.48,55.87,1593,0,0,0,0,0
cpu,2,5,55.69,35.79,5.89,63.6,33.0,35.76,44.73,55.7,1671,0,0,0,0,0
cpu,4,1,95.66,41.71,8.54,76.75,40.14,46.2,49.65,68.81,2873,0,0,0,0,0
cpu,4,2,97.41,40.96,8.58,73.65,38.42,45.32,48.96,68.49,2925,0,0,0,0,0
cpu,4,3,97.39,40.97,8.54,73.55,38.71,44.75,49.15,69.1,2924,0,0,0,0,0
cpu,4,4,96.42,41.39,8.59,76.12,39.8,45.32,50.15,69.46,2895,0,0,0,0,0
cpu,4,5,96.34,41.42,8.47,77.06,39.68,45.38,48.79,69.61,2892,0,0,0,0,0
cpu,8,1,157.75,50.58,7.89,86.84,48.34,49.05,50.93,79.77,4734,0,0,0,0,0
cpu,8,2,157.83,50.58,7.78,84.73,48.33,49.05,50.86,79.02,4737,0,0,0,0,0
cpu,8,3,157.8,50.58,7.86,84.38,48.3,48.99,50.96,79.45,4736,0,0,0,0,0
